player,apps,mins,goals,xg,shots,shots_on_target,conversion_pct,xg_per_shot,openplay_passes_total,openplay_passes_completed,openplay_pass_pct,finalthird_passes_total,finalthird_passes_completed,finalthird_pass_pct,crosses_total,crosses_completed,crosses_pct,through_balls,tackles,interceptions,possession_won,blocks,clearances,ground_duels_total,ground_duels_won,ground_duels_pct,aerial_duels_total,aerial_duels_won,aerial_duels_pct,carries_total,carries_distance_m,carries_avg_m,carries_progressive_total,carries_prog_distance_m,carries_prog_avg_m,carries_to_shot,carries_to_goal,carries_to_chance,carries_to_assist,total_passes_completed_fifa
Baena,7,487,1,0.66,12,5,8.33,0.05,217,176,81.1,122,92,75.4,19,0,0.0,1,8,1,21,0,3,44,17,38.6,3,1,33.3,67,714.0,10.7,35,239.5,6.8,3,0,2,0,
Laporte,8,728,0,0.36,5,2,0.0,0.07,659,616,93.5,126,106,84.1,1,0,0.0,0,5,15,33,0,29,16,8,50.0,33,18,54.5,182,2004.8,11.0,136,1542.3,11.3,1,0,0,0,618.0
Dani Olmo,8,495,0,0.93,13,2,0.0,0.07,232,210,90.5,106,95,89.6,1,0,0.0,2,7,0,16,1,0,43,25,58.1,5,3,60.0,64,750.2,11.7,37,438.5,11.9,2,0,3,0,
Fabian Ruiz,8,322,1,0.9,8,2,12.5,0.11,293,264,90.1,106,90,84.9,8,2,25.0,1,7,4,17,0,4,15,10,66.7,2,2,100.0,58,586.0,10.1,31,333.5,10.8,0,0,1,0,
Ferran Torres,8,283,1,2.32,14,4,7.14,0.17,88,66,75.0,51,34,66.7,4,0,0.0,2,0,0,9,0,2,28,7,25.0,6,5,83.3,30,325.8,10.9,14,111.7,8.0,2,0,0,0,
Yamal,8,615,1,1.74,27,12,3.7,0.06,267,224,83.9,155,121,78.1,24,5,20.8,5,11,3,27,0,1,104,47,45.2,0,0,0.0,136,1556.9,11.4,80,949.0,11.9,12,0,3,0,
Cucurella,8,750,0,0.38,5,3,0.0,0.08,422,382,90.5,160,142,88.8,12,2,16.7,1,8,7,25,3,9,33,16,48.5,6,3,50.0,50,552.3,11.0,38,457.9,12.1,2,0,1,1,
Oyarzabal,8,605,5,4.0,23,12,21.74,0.17,153,126,82.3,58,38,65.5,3,1,33.3,1,6,1,14,0,5,32,13,40.6,18,7,38.9,35,312.4,8.9,10,85.7,8.6,4,0,3,1,
Cubarsi,8,750,0,0.21,4,2,0.0,0.05,699,671,96.0,109,102,93.6,1,0,0.0,5,8,5,29,2,31,20,13,65.0,26,14,53.8,172,1847.4,10.7,106,1203.7,11.4,2,0,4,0,668.0
Pedri,8,499,0,0.29,5,2,0.0,0.06,471,418,88.8,227,189,83.3,5,1,20.0,9,12,10,37,3,1,42,21,50.0,4,3,75.0,155,1606.7,10.4,66,598.3,9.1,1,0,4,0,
Porro,6,564,2,1.33,7,3,28.57,0.19,362,323,89.2,122,99,81.2,24,8,33.3,0,14,8,30,1,14,47,25,53.2,11,7,63.6,66,633.7,9.6,39,321.4,8.2,1,1,3,0,
Rodri,8,726,0,0.35,7,0,0.0,0.05,811,756,93.2,222,204,91.9,4,0,0.0,2,26,2,40,2,11,60,38,63.3,14,11,78.6,189,1955.8,10.3,111,1120.1,10.1,2,0,3,0,790.0
